review,rating,date,bank,source,review_clean
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,google_play,"this app is a joke. it crashes more than it works, takes forever to load, and half the features are just decorative at this point. can’t log in, can’t transfer money, can’t even check my balance without it bugging out. to the developer: are you actually trying to make this work, or is this some kind of social experiment to test our patience? did you build this in your sleep? because it definitely looks like it. if this is your idea of a functional app, maybe consider a different career path🙏"
BoA,2,2025-05-20,BOA,google_play,boa
but not opening on android,4,2025-05-19,BOA,google_play,but not opening on android
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,google_play,worst app ever. totally unreliable. and it didn't work at all for the last 4 months.
amazing,5,2025-05-18,BOA,google_play,amazing
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,google_play,"this app does no work on samsung a51, it just gives a preview of the logo"
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,google_play,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue ."
liking this application good 👍,5,2025-05-07,BOA,google_play,liking this application good 👍
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,google_play,"this app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and otp sent not work"
it's really good 👍,5,2025-04-23,BOA,google_play,it's really good 👍
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,google_play,bad app . it stuck when you open and noting works.
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,google_play,"the app isn't working after it asked me the password it starts loading, but it doesn't open"
Best,2,2025-04-19,BOA,google_play,best
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,google_play,it keeps showing this pop up to turn off developer options even tho it's off! i had to turn on and then off to make it work! this is a horrible experience and needs a fix asap! plus kinda slow.
yideg,1,2025-04-18,BOA,google_play,yideg
great boa,5,2025-04-10,BOA,google_play,great boa
boa of mobile backing,5,2025-04-09,BOA,google_play,boa of mobile backing
faster bank of Abissinya,5,2025-04-08,BOA,google_play,faster bank of abissinya
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,google_play,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug
it just doesn't work...so frustrating,1,2025-04-07,BOA,google_play,it just doesn't work...so frustrating
like,5,2025-04-06,BOA,google_play,like
it's not work correctly... you must have update it,1,2025-04-06,BOA,google_play,it's not work correctly... you must have update it
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,google_play,"the app gets a considerable improvements like language , qr scanner and unlimited transfers survice. but boa please do alot on its fastness and convenient when we login and making a transactions."
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,google_play,after i typed in my password it says successfully logged out ...and goes back to the first page
good but they don't update enough don't add new things,3,2025-04-04,BOA,google_play,good but they don't update enough don't add new things
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,google_play,it doesn't work period z slowest mobile banking ever i would rather use *815#
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,google_play,"after activated the application it not allowed to sign , automatically it is turn off in my phone, why ?"
good application,5,2025-03-30,BOA,google_play,good application
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,google_play,this version is not working for me i cannot even buy card. i cannot send money
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,google_play,"it can't actively on initialization, it says incorrect otp getting the exact otp"
always problematic hardly works,1,2025-03-26,BOA,google_play,always problematic hardly works
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,google_play,considering the fact the bank is huge this app really bad you could do better
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,BOA,google_play,"worst app and bank ever u be ashamed, scammer"
great BoA,5,2025-03-22,BOA,google_play,great boa
best,5,2025-03-21,BOA,google_play,best
