review,rating,date,bank,source
Dashin mobile banking is become worest app like others Ethiopian bank apps. Amole was the best app ever I used. It was so flexible & reliable to use. and the best app user can login with new device without go to bank physically.,1,2025-09-05,Dashen,google_play
"The app has potential, but the QR payment feature is disappointing. The scanner doesn’t work, and even though there’s an option to select a QR code from the gallery, it doesn’t function either. This makes paying with QR codes almost impossible. Fixing this would really improve the app.",3,2025-09-04,Dashen,google_play
"very slow and failed transaction multiple times, previous app was much better!!",2,2025-09-04,Dashen,google_play
great 👍,5,2025-09-02,Dashen,google_play
"""super Idiot app"" 1.it forced me to off many of my phone settings like developers option. 2.Never works fastly. 3.It needs multiple click. 4. Doesn't notify if received money & many many more *** The worst mobile app ever expanded***",1,2025-09-01,Dashen,google_play
good,2,2025-09-01,Dashen,google_play
dashin bank,5,2025-08-30,Dashen,google_play
muhaammad bakko,5,2025-08-30,Dashen,google_play
goog,5,2025-08-29,Dashen,google_play
un functional app,1,2025-08-29,Dashen,google_play
trnes far,5,2025-08-27,Dashen,google_play
excellent,5,2025-08-26,Dashen,google_play
shimalis,4,2025-08-25,Dashen,google_play
አሪፍ ነው ግን ደረሰኙ የተቀባይ አካውንት እና ስም አያሳይም ።,3,2025-08-24,Dashen,google_play
excellent mobile banking digital,5,2025-08-24,Dashen,google_play
"Excellent, and it's truly a super app!",5,2025-08-24,Dashen,google_play
nice app,4,2025-08-23,Dashen,google_play
very nice app,5,2025-08-23,Dashen,google_play
can't access as will if it's super and can't even access the service when you need it's a big failure,1,2025-08-22,Dashen,google_play
seche,1,2025-08-22,Dashen,google_play
very fast bank,5,2025-08-22,Dashen,google_play
good and well,5,2025-08-22,Dashen,google_play
what a bank it is,5,2025-08-22,Dashen,google_play
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,2,2025-08-21,Dashen,google_play
great app,5,2025-08-20,Dashen,google_play
nic,5,2025-08-20,Dashen,google_play
easy to use and the best one,5,2025-08-17,Dashen,google_play
it is totally work of failure. I personally prefer dashen amole instead of this super dull app.,1,2025-08-16,Dashen,google_play
very good app,5,2025-08-16,Dashen,google_play
The worst banking app in Ethiopia. It forces you to change your PIN every three months.,1,2025-08-16,Dashen,google_play
አሪፍ,5,2025-08-15,Dashen,google_play
best but USSD is necessary,5,2025-08-15,Dashen,google_play
"one step forward, Ethiopian bank and e commerce industry",5,2025-08-15,Dashen,google_play
still it's essay for user,4,2025-08-15,Dashen,google_play
"Great app, unfortunately I struggle to use it from outside Ethiopia. It tells me ""VPN enabled please disable VPN to continue using the app"". And that's happening without any VPN enabled. I think I will need to switch back to CBE because I need access to my bank account globally.",1,2025-08-15,Dashen,google_play
"It was easy enough before. but now it won't even open , why? pls help if possible. The email address you provided under the App support also can't be found by Gmail. pls respond.",3,2025-08-14,Dashen,google_play
good,5,2025-08-14,Dashen,google_play
"There are plenty of features missed e. g electricity bill, water bill payments",2,2025-08-14,Dashen,google_play
የሶፍትዌሩ ለአጠቃቀም ምቹና ቀላል መሆኑ ተመራጭ ያደርገዋል,5,2025-08-14,Dashen,google_play
